Üniversite,Bölüm/Fakülte,Ücret,Akademik yıl
Haliç Üniversitesi,Psikoloji İngilizce - 90.720 TL,90.720 TL,2022
Haliç Üniversitesi,Matematik ( %50 Burslu) - 37.800 TL,37.800 TL,2022
Haliç Üniversitesi,Türk Dili ve Edebiyatı ( %50 Burslu) - 35.640 TL,35.640 TL,2022
Haliç Üniversitesi,İşletme (%50 Burslu) - 35.640 TL,35.640 TL,2022
Haliç Üniversitesi,Uluslararası Ticaret ve İşletmecilik - 35.640 TL,35.640 TL,2022
Haliç Üniversitesi,Yönetim Bilişimleri Sistemleri (%50 Burslu) - 39.960 TL,39.960 TL,2022
Haliç Üniversitesi,Siyaset Bilimi ve Uluslararası İlişkiler (%50 Burslu) - 35.640 TL,35.640 TL,2022
Haliç Üniversitesi,Bilgisayar Mühendisliği  (%50 Burslu) - 41.040 TL,41.040 TL,2022
Haliç Üniversitesi,Makine Mühendisliği (%50 Burslu) - 32.400 TL,32.400 TL,2022
Haliç Üniversitesi,Yazılım Mühendisliği ( %50 Burslu) - 41.040 TL,41.040 TL,2022
Haliç Üniversitesi,Mimarlık (%50 Burslu) - 36.720 TL,36.720 TL,2022
Haliç Üniversitesi,İç Mimarlık (%50 Burslu) -  45.360 TL,45.360 TL,2022
Haliç Üniversitesi,Endüstriyel Tasarım -32.400 TL,32.400 TL,2022
Haliç Üniversitesi,Görsel İletişim ve Tasarım (%50 İndirimli) - 38.880 TL,38.880 TL,2022
Haliç Üniversitesi,Gastronomi ve Mutfak Sanatları (%50 İndirimli) - 41.040 TL,41.040 TL,2022
İstanbul 29 Mayıs Üniversitesi,Felsefe - 48.500 TL,48.500 TL,2022
İstanbul 29 Mayıs Üniversitesi,İngilizce Hazırlık - 49.500 TL,49.500 TL,2022
İstanbul 29 Mayıs Üniversitesi,İngilizce Öğretmenliği - 50. 000 TL,000 TL,2022
İstanbul 29 Mayıs Üniversitesi,Okul Öncesi Öğretmenliği - 50.000 TL,50.000 TL,2022
İstanbul 29 Mayıs Üniversitesi,Rehberlik ve Psikolojik Danışmanlık - 50.000 TL,50.000 TL,2022
İstanbul 29 Mayıs Üniversitesi,Tarih - 48.500 TL,48.500 TL,2022
