akademik_yil,bolum_fakulte,burs_orani,ucret,universite
2021,Turizm ve Otelcilik (Gastronomi ve Mutfak Sanatları),Ücretli,65.500,Bilgi Üni.
2021,Tüm Bölümler,Ücretli,57.500,Bilkent Üni.
2021,Tıp Fakültesi (%25 İndirimli),%25 İndirimli,81.225,Biruni Üni.
2021,Diş Hekimliği Fakültesi,%25 İndirimli,80.156,Biruni Üni.
2021,Eczacılık Fakültesi,%25 İndirimli,55.575,Biruni Üni.
2021,İngilizce Hazırlık Programı,%25 İndirimli,22.800,Biruni Üni.
2021,İlköğretim Matematik Öğretmenliği,%50 İndirimli,28.500,Biruni Üni.
2021,Okul Öncesi Öğretmenliği,%50 İndirimli,28.500,Biruni Üni.
2021,İngilizce Öğretmenliği,%50 İndirimli,29.450,Biruni Üni.
2021,Rehberlik ve Psikolojik Danışmanlık,%50 İndirimli,26.125,Biruni Üni.
2021,Bilgisayar Mühendisliği,%50 İndirimli,25.650,Biruni Üni.
2021,İç Mimarlık ve Çevre Tasarımı,%50 İndirimli,29.000,Biruni Üni.
2021,Beslenme ve Diyetetik,%50 İndirimli,28.500,Biruni Üni.
2021,Hemşirelik,%50 İndirimli,28.500,Biruni Üni.
2021,Biyomedikal Mühendisliği (İngilizce),%50 İndirimli,16.150,Biruni Üni.
2021,Çocuk Gelişimi,%50 İndirimli,17.100,Biruni Üni.
2021,Dil ve Konuşma Terapisi,%50 İndirimli,33.250,Biruni Üni.
2021,Ebelik,%50 İndirimli,22.800,Biruni Üni.
2021,Tüm Bölümler,Ücretli,59.940,Çankaya Üni.
2021,Mühendislik Fakültesi,Ücretli,43.832,Doğuş Üni.
2021,Hukuk Fakültesi,Ücretli,49.810,Doğuş Üni.
2021,Fen-Edebiyat Fakültesi (Psikoloji Bölümü Hariç),Ücretli,43.832,Doğuş Üni.
2021,İktisadi ve İdari Bilimler Fakültesi,Ücretli,43.832,Doğuş Üni.
2021,Psikoloji Bölümü (Türkçe & İngilizce),Ücretli,46.489,Doğuş Üni.
2021,Sanat ve Tasarım Fakültesi,Ücretli,43.832,Doğuş Üni.
2021,Sağlık Bilimleri Yüksekokulu,Ücretli,40.000,Doğuş Üni.
2021,İngilizce Lisans Programlarda İngilizce Hazırlık Sınıfı,Ücretli,43.832,Doğuş Üni.
2021,"Sanat, Tasarım ve Mimarlık Fakültesi",Ücretli,71.388,FMV Işık Üni.
2021,Mühendislik ve Doğa Bilimleri Fakültesi,Ücretli,71.388,FMV Işık Üni.
2021,Psikoloji (Türkçe & İngilizce),Ücretli,71.388,FMV Işık Üni.
2021,Yönetim Bilişim Sistemleri (Türkçe & İngilizce),Ücretli,71.388,FMV Işık Üni.
2021,İktisat (İngilizce),Ücretli,69.120,FMV Işık Üni.
2021,İşletme (İngilizce),Ücretli,69.120,FMV Işık Üni.
2021,Uluslararası İlişkiler (İngilizce),Ücretli,69.120,FMV Işık Üni.
2021,Uluslararası Ticaret ve Finansman (İngilizce),Ücretli,69.120,FMV Işık Üni.
2021,Lojistik Yönetimi (İngilizce),Ücretli,69.120,FMV Işık Üni.
2021,Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Ücretli,69.120,FMV Işık Üni.
2021,Tıp Fakültesi,Ücretli,105.840,Haliç Üni.
2021,Tıp Fakültesi (İngilizce),Ücretli,118.800,Haliç Üni.
2021,Psikoloji,Ücretli,51.840,Haliç Üni.
2021,Psikoloji (İngilizce),Ücretli,57.240,Haliç Üni.
2021,Matematik,Ücretli,47.520,Haliç Üni.
2021,Türk Dili ve Edebiyatı,Ücretli,41.040,Haliç Üni.
2021,İşletme,Ücretli,32.400,Haliç Üni.
2021,İşletme (İngilizce),Ücretli,32.400,Haliç Üni.
