academicYear,idOSYM,baseScore,topScore
2023,101890245,"38,262,544","39,708,821"
2022,101890245,"38,736,190","45,126,803"
2023,111711631,"38,913,518","43,386,901"
2022,111711631,"36,996,423","46,303,261"
2023,106770737,"38,494,221","46,147,436"
2022,106770737,"37,568,840","43,148,035"
2023,110410227,"38,552,288","45,622,927"
2022,110410227,"37,798,247","43,754,987"
2023,111710148,"38,515,168","43,822,789"
2022,111710148,"36,007,916","39,037,409"
2023,101190427,"41,355,538","50,229,492"
2022,101190427,"39,299,845","49,963,369"
2023,103290218,"38,399,323","41,652,484"
2022,103290218,"37,240,329","42,059,813"
2023,105610122,"39,224,913","44,056,388"
2022,105610122,"37,287,844","44,105,057"
2023,108010464,"38,239,275","44,136,182"
2022,108010464,"36,838,519","43,184,256"
2023,109710057,"37,808,171","41,552,500"
2022,109710057,"36,245,600","42,281,931"
2023,105710139,"38,598,397","42,753,149"
2022,105710139,"37,250,306","44,876,040"
2023,106690182,"38,452,453","43,277,101"
2022,106690182,"37,548,547","42,265,073"
2023,109090064,"37,883,382","42,501,723"
2022,109090064,"38,371,321","48,184,466"
2023,107890029,"37,943,708","40,274,963"
2022,107890029,"38,486,772","43,815,349"
2023,103810083,"38,362,988","44,488,441"
2022,103810083,"37,237,496","43,525,573"
2023,103510129,"38,217,970","45,981,785"
2022,103510129,"38,725,527","44,912,580"
2023,107690294,"37,703,966","41,559,196"
2022,107690294,"35,985,621","42,549,133"
2023,108890246,"38,407,463","44,273,977"
2022,108890246,"36,290,056","44,293,147"
2023,107390091,"37,341,597","39,407,827"
2022,107390091,"36,624,100","39,708,815"
2023,108390153,"37,455,399","41,900,937"
2022,108390153,"36,823,958","43,302,689"
2023,101110245,"37,890,149","41,169,147"
2022,101110245,"35,776,575","46,186,846"
2023,103510174,"37,697,590","42,356,714"
2022,103510174,"36,811,788","41,649,096"
2023,101690109,"37,410,562","44,053,813"
2022,101690109,"36,867,304","42,799,769"
2023,104210032,"37,694,549","44,372,101"
2022,104210032,"37,234,759","46,070,158"
2023,100990039,"37,315,783","40,349,488"
2022,100990039,"36,972,013","40,200,718"
2023,101190430,"39,798,782","49,032,870"
2022,101190430,"37,904,150","50,212,069"
2023,104890561,"43,216,696","43,216,696"
2023,106770734,"36,905,628","41,241,247"
2022,106770734,"36,186,569","41,030,656"
2023,107610019,"37,455,831","41,402,981"
2022,107610019,"35,952,055","46,900,495"
2023,100310652,"37,511,100","43,183,837"
2022,100310652,"36,293,729","41,844,798"
2023,110310435,"37,221,867","43,904,231"
2022,110310435,"36,548,974","46,981,435"
2023,109890118,"36,866,632","42,128,060"
2022,109890118,"36,210,900","43,245,517"
2023,101490395,"36,628,564","46,016,086"
2022,101490395,"36,249,057","40,573,628"
2023,100711204,"37,370,662","40,128,616"
2022,100711204,"36,083,476","44,029,257"
2023,108090092,"36,402,370","44,030,952"
2022,108090092,"36,271,201","43,208,610"
2023,104970176,"37,108,767","39,892,791"
2022,104970176,"37,698,816","40,429,699"
2023,103090226,"38,003,031","45,162,559"
2022,103090226,"36,503,076","39,625,939"
2023,105610131,"37,637,909","43,365,018"
2022,105610131,"35,289,302","48,282,876"
2023,105610088,"38,333,307","48,015,626"
2022,105610088,"38,189,799","47,687,925"
2023,107710503,"36,076,835","48,400,759"
2022,107710503,"37,114,000","41,332,988"
2023,108610794,"36,143,471","41,530,123"
2022,108610794,"34,743,213","39,351,860"
2023,101490364,"36,301,392","39,297,691"
2022,101490364,"36,099,629","39,508,523"
2023,102610158,"36,184,947","43,857,245"
2022,102610158,"35,747,570","42,488,012"
2023,105310479,"36,647,081","42,761,937"
2022,105310479,"37,253,572","42,434,346"
2023,108190122,"36,021,370","42,146,847"
2022,108190122,"35,611,287","39,090,533"
2023,111210067,"36,010,651","38,747,071"
2023,104510435,"35,720,094","45,488,743"
2022,104510435,"35,184,762","38,728,008"
2023,108210029,"36,656,342","51,274,988"
2022,108210029,"35,656,360","41,272,986"
2023,109490281,"35,345,458","45,346,479"
2022,109490281,"33,880,005","45,120,736"
2023,105611341,"37,962,409","47,509,106"
2022,105611341,"36,004,740","41,371,228"
2023,101110351,"36,500,711","43,036,434"
2022,101110351,"33,155,954","48,792,596"
2023,101110103,"36,994,216","48,425,816"
2022,101110103,"33,598,447","44,145,183"
2023,100890063,"35,796,756","42,157,411"
2022,100890063,"35,334,305","38,287,138"
2023,106211042,"36,212,337","45,399,310"
2022,106211042,"33,521,772","39,524,453"
2023,105611623,"37,219,582","41,299,225"
2022,105611623,"35,479,929","41,105,236"
2023,110210172,"36,421,785","40,454,809"
2022,110210172,"35,993,951","40,325,601"
2023,101190432,"37,643,428","50,261,579"
2022,101190432,"34,759,155","48,345,046"
2023,110910168,"34,499,424","40,630,016"
2022,110910168,"36,422,017","42,152,465"
2023,100310873,"36,315,033","43,686,659"
2022,100310873,"34,428,263","39,297,876"
2023,101510523,"34,991,313","41,762,356"
2022,101510523,"33,894,191","43,394,983"
2023,102910022,"37,278,889","44,702,818"
2022,102910022,"34,771,833","45,639,122"
2023,107490302,"35,995,231","44,650,104"
2022,107490302,"33,690,707","40,544,591"
2023,104110209,"36,509,554","45,347,113"
2022,104110209,"35,877,869","46,645,543"
2023,109410854,"35,731,398","39,567,819"
2022,109410854,"34,201,441","41,278,726"
2023,107490303,"35,286,099","41,798,252"
2022,107490303,"32,928,083","48,217,558"
2023,104310597,"35,128,672","45,935,428"
2022,104310597,"34,753,138","40,635,229"
2023,100310097,"35,826,275","39,567,491"
2022,100310097,"33,800,538","40,161,041"
2023,106090171,"34,455,590","47,634,630"
2023,107410763,"34,846,069","44,236,152"
2022,107410763,"33,779,354","43,994,922"
2023,108710396,"35,123,196","49,395,560"
2022,108710396,"34,881,740","46,864,182"
2023,106390073,"35,035,129","47,597,539"
2022,106390073,"34,474,914","42,491,503"
2023,106110212,"36,287,500","42,466,789"
2022,106110212,"35,862,975","47,419,479"
2023,101190422,"34,618,176","41,543,540"
2022,101190422,"32,334,556","40,906,545"
2023,108810102,"34,454,961","42,119,424"
2022,108810102,"32,193,198","46,739,893"
2023,111570392,"33,954,739","37,897,897"
2023,108610476,"34,463,866","46,789,077"
2022,108610476,"32,416,941","40,902,455"
2023,105490155,"34,959,426","34,959,426"
2023,102690212,"34,829,160","43,815,148"
2022,102690212,"35,156,744","43,234,530"
2023,111711737,"26,772,339","30,369,025"
2022,111711737,"26,510,673","34,983,613"
2023,105610176,"34,396,835","42,434,742"
2022,105610176,"30,970,832","41,059,792"
2023,103730107,"34,119,823","36,147,453"
2022,103730107,"34,021,274","36,086,419"
2023,100190151,"34,197,436","40,038,062"
2022,100190151,"33,067,113","37,607,509"
2023,100790419,"34,958,913","45,777,985"
2022,100790419,"33,303,508","45,175,579"
2023,101190204,"26,863,772","33,674,578"
2022,101190204,"25,963,250","31,776,256"
2023,107190074,"34,720,741","40,181,117"
2022,107190074,"34,516,679","37,836,595"
2023,108210083,"33,911,857","45,443,393"
2022,108210083,"31,786,841","40,225,966"
2023,108570516,"34,465,955","43,170,287"
2022,108570516,"35,073,875","38,221,871"
2023,102390058,"33,717,830","40,826,398"
2022,102390058,"33,706,435","38,003,217"
2023,108570492,"34,022,939","39,602,817"
2022,108570492,"34,614,792","38,650,070"
2023,107290506,"34,493,978","41,942,446"
2023,108990380,"33,813,787","38,947,497"
2022,108990380,"32,054,948","39,265,002"
2023,107910316,"33,581,567","45,861,108"
2022,107910316,"31,665,114","42,515,009"
2023,101490467,"33,481,737","37,164,656"
2022,101490467,"33,058,329","37,495,732"
2023,101370248,"33,439,256","36,191,051"
2022,101370248,"33,408,969","36,354,167"
2023,108211196,"33,288,866","40,612,614"
2022,108211196,"32,197,845","36,383,748"
2023,107010016,"34,498,049","44,974,219"
2022,107010016,"32,711,214","39,202,839"
2023,108010031,"33,160,572","43,796,257"
2022,108010031,"31,215,396","41,428,729"
2023,111790330,"33,936,243","45,590,196"
2022,111790330,"31,848,135","41,286,052"
2023,111890177,"33,044,369","41,172,332"
2022,111890177,"32,139,719","39,335,692"
2023,100290057,"33,949,246","38,120,097"
2022,100290057,"34,192,622","46,460,839"
2023,105610149,"34,377,970","46,613,759"
2022,105610149,"30,978,310","45,116,998"
2023,103510192,"32,744,565","41,396,638"
2022,103510192,"31,005,603","37,892,556"
2023,104790124,"32,990,403","37,562,953"
2022,104790124,"32,560,375","36,053,286"
2023,101010131,"32,021,806","43,907,875"
2022,101010131,"28,192,827","41,155,730"
2023,101790103,"33,752,871","43,677,098"
2022,101790103,"33,413,717","42,375,669"
2023,107190045,"33,119,880","42,173,336"
2022,107190045,"33,192,099","38,708,241"
2023,108010419,"33,816,757","41,588,820"
2022,108010419,"33,068,380","45,116,965"
2023,112270818,"32,633,939","37,771,501"
2022,112270818,"35,259,244","42,596,340"
2023,107910264,"32,508,408","44,092,106"
2022,107910264,"30,608,998","48,242,901"
2023,101190619,"25,930,777","25,930,777"
2023,103590181,"32,027,712","39,401,757"
2022,103590181,"31,408,966","36,522,889"
2023,112572424,"32,408,273","36,930,931"
2022,112572424,"31,510,640","35,054,672"
2023,109590016,"32,966,777","37,584,335"
2022,109590016,"32,986,680","40,146,420"
2023,107090216,"34,018,094","47,486,708"
2022,107090216,"33,885,242","45,282,571"
2023,108910216,"32,823,678","41,757,548"
2022,108910216,"30,549,166","42,599,610"
2023,102010101,"32,647,954","40,433,418"
2022,102010101,"32,805,832","38,106,720"
2023,101110042,"32,382,910","44,450,885"
2022,101110042,"30,375,195","41,548,525"
2023,102910076,"32,824,471","45,609,184"
2022,102910076,"31,562,576","40,843,621"
2023,108090093,"31,008,264","34,874,724"
2022,108090093,"29,317,916","40,635,571"
2023,102090252,"31,305,433","37,444,230"
2023,105910119,"32,241,634","40,389,830"
2022,105910119,"32,077,183","37,271,061"
2023,106690178,"31,432,757","37,033,147"
2022,106690178,"29,503,912","41,212,048"
2023,100410933,"31,852,068","37,625,703"
2022,100410933,"30,578,364","44,342,997"
2023,100710066,"31,481,426","38,083,659"
2022,100710066,"30,084,877","45,075,895"
2023,101110184,"30,961,546","43,770,247"
2022,101110184,"25,006,445","42,944,263"
2023,106770726,"31,458,080","38,388,535"
2022,106770726,"30,518,775","37,345,594"
2023,107010388,"31,075,918","42,821,913"
2022,107010388,"29,874,213","38,316,442"
2023,107890050,"31,852,583","44,793,908"
2022,107890050,"32,248,157","35,582,647"
2023,109290320,"30,282,741","39,495,590"
2022,109290320,"31,116,664","41,193,978"
2023,102190024,"31,533,518","41,385,982"
2022,102190024,"31,873,810","42,616,292"
2023,110390137,"30,625,121","42,128,198"
2022,110390137,"29,403,384","35,221,456"
2023,108910279,"29,920,398","41,551,659"
2022,108910279,"28,736,756","46,022,788"
2023,101190217,"32,225,987","41,550,059"
2022,101190217,"27,228,510","34,924,130"
2023,101410278,"32,218,456","39,313,173"
2022,101410278,"30,182,601","41,388,027"
2023,100590075,"31,314,428","37,660,070"
2022,100590075,"31,367,965","35,795,635"
2023,108910349,"29,838,190","41,067,972"
2022,108910349,"28,324,701","40,613,273"
2023,101110175,"29,828,621","40,375,997"
2022,101110175,"28,269,728","47,049,288"
2023,101990052,"30,129,707","40,167,716"
2022,101990052,"27,776,542","32,018,646"
2023,110090093,"32,691,039","45,453,229"
2022,110090093,"32,342,288","42,699,713"
2023,109090066,"30,963,230","43,107,574"
2022,109090066,"30,433,089","37,923,019"
2023,104890554,"42,667,327","42,667,327"
2023,107010749,"30,835,882","38,761,056"
2022,107010749,"31,205,012","38,881,395"
2023,105290042,"30,116,912","37,526,869"
2022,105290042,"30,896,482","41,928,454"
2023,108990298,"29,920,572","34,419,113"
2022,108990298,"28,729,448","35,546,816"
2023,101190528,"31,350,061","31,350,061"
2022,101190528,"21,248,234","21,248,234"
2023,105690823,"28,477,532","28,477,532"
2023,108911268,"29,745,334","43,845,424"
2022,108911268,"30,279,559","37,174,106"
2023,100590073,"30,248,813","44,783,791"
2022,100590073,"30,438,257","37,587,591"
2023,105610325,"29,148,979","36,280,105"
2022,105610325,"23,624,848","38,075,831"
2023,109110221,"29,085,764","36,478,149"
2022,109110221,"27,540,854","36,306,731"
2023,103010258,"34,323,460","45,930,635"
2022,103010258,"30,949,566","45,564,192"
2023,100210283,"32,301,960","41,849,441"
2022,100210283,"31,866,840","44,065,295"
2023,105990135,"29,475,209","38,396,861"
2022,105990135,"28,941,657","42,718,424"
2023,106190085,"30,191,167","36,891,676"
2022,106190085,"28,593,261","35,622,489"
2023,107290450,"37,052,133","37,052,133"
2022,107290450,"22,818,435","22,818,435"
2023,101110121,"29,707,092","43,249,389"
2022,101110121,"24,770,863","42,899,105"
2023,100890060,"29,502,714","35,144,353"
2022,100890060,"28,434,717","33,234,486"
2023,101410039,"29,238,818","47,645,101"
2022,101410039,"28,035,720","42,202,265"
2023,104810202,"32,110,001","44,694,159"
2022,104810202,"32,290,736","40,686,780"
2023,110790032,"29,166,829","37,778,813"
2022,110790032,"30,597,981","35,914,026"
2023,106690208,---,---
2023,106390074,"29,132,369","43,093,124"
2022,106390074,"27,979,188","45,423,781"
2023,106410396,"27,778,525","35,610,321"
2022,106410396,"26,319,611","32,834,600"
2023,108990440,"28,263,049","43,138,604"
2022,108990440,"28,625,417","45,415,837"
2023,102610097,"28,353,099","35,330,211"
2022,102610097,"26,996,584","46,833,678"
2023,102610149,"27,264,834","43,875,869"
2022,102610149,"25,246,957","30,952,323"
2023,107190037,"28,979,498","41,825,062"
2022,107190037,"27,086,416","31,871,445"
2023,108290346,"29,024,509","41,576,972"
2022,108290346,"28,354,109","38,937,794"
2023,101490366,"27,496,020","45,149,174"
2022,101490366,"26,554,539","38,009,271"
2023,101411091,"27,096,063","36,757,587"
2022,101411091,"25,175,396","34,395,127"
2023,109410306,"26,714,425","36,839,194"
2022,109410306,"21,507,478","36,072,043"
2023,108990381,"28,509,022","45,701,594"
2022,108990381,"28,590,228","39,393,475"
2023,102890056,"26,628,465","35,606,518"
2022,102890056,"24,774,988","30,667,436"
2023,101410357,"27,246,014","40,944,616"
2022,101410357,"25,019,823","37,108,709"
2023,101110166,"26,747,600","44,524,620"
2022,101110166,"22,007,168","38,188,686"
2023,103910073,"28,123,879","43,091,369"
2022,103910073,"26,788,691","42,709,474"
2023,105690657,"27,346,570","43,519,469"
2022,105690657,"31,988,695","42,057,734"
