academicYear,idOSYM,baseScore,topScore
2022,105610176,"309,70832","410,59792"
2023,103730107,"341,19823","361,47453"
2022,103730107,"340,21274","360,86419"
2023,100190151,"341,97436","400,38062"
2022,100190151,"330,67113","376,07509"
2023,100790419,"349,58913","457,77985"
2022,100790419,"333,03508","451,75579"
2023,101190204,"268,63772","336,74578"
2022,101190204,"259,63250","317,76256"
2023,107190074,"347,20741","401,81117"
2022,107190074,"345,16679","378,36595"
2023,108210083,"339,11857","454,43393"
2022,108210083,"317,86841","402,25966"
2023,108570516,"344,65955","431,70287"
2022,108570516,"350,73875","382,21871"
2023,102390058,"337,17830","408,26398"
2022,102390058,"337,06435","380,03217"
2023,108570492,"340,22939","396,02817"
2022,108570492,"346,14792","386,50070"
2023,107290506,"344,93978","419,42446"
2023,108990380,"338,13787","389,47497"
2022,108990380,"320,54948","392,65002"
2023,107910316,"335,81567","458,61108"
2022,107910316,"316,65114","425,15009"
2023,101490467,"334,81737","371,64656"
2022,101490467,"330,58329","374,95732"
2023,101370248,"334,39256","361,91051"
2022,101370248,"334,08969","363,54167"
2023,108211196,"332,88866","406,12614"
2022,108211196,"321,97845","363,83748"
2023,107010016,"344,98049","449,74219"
2022,107010016,"327,11214","392,02839"
2023,108010031,"331,60572","437,96257"
2022,108010031,"312,15396","414,28729"
2023,111790330,"339,36243","455,90196"
2022,111790330,"318,48135","412,86052"
2023,111890177,"330,44369","411,72332"
2022,111890177,"321,39719","393,35692"
2023,100290057,"339,49246","381,20097"
2022,100290057,"341,92622","464,60839"
2023,105610149,"343,77970","466,13759"
2022,105610149,"309,78310","451,16998"
2023,103510192,"327,44565","413,96638"
2022,103510192,"310,05603","378,92556"
2023,104790124,"329,90403","375,62953"
2022,104790124,"325,60375","360,53286"
2023,101010131,"320,21806","439,07875"
2022,101010131,"281,92827","411,55730"
2023,101790103,"337,52871","436,77098"
2022,101790103,"334,13717","423,75669"
2023,107190045,"331,19880","421,73336"
2022,107190045,"331,92099","387,08241"
2023,108010419,"338,16757","415,88820"
2022,108010419,"330,68380","451,16965"
2023,112270818,"326,33939","377,71501"
2022,112270818,"352,59244","425,96340"
2023,107910264,"325,08408","440,92106"
2022,107910264,"306,08998","482,42901"
2023,101190619,"259,30777","259,30777"
2023,103590181,"320,27712","394,01757"
2022,103590181,"314,08966","365,22889"
2023,112572424,"324,08273","369,30931"
2022,112572424,"315,10640","350,54672"
2023,109590016,"329,66777","375,84335"
2022,109590016,"329,86680","401,46420"
2023,107090216,"340,18094","474,86708"
2022,107090216,"338,85242","452,82571"
2023,108910216,"328,23678","417,57548"
2022,108910216,"305,49166","425,99610"
2023,102010101,"326,47954","404,33418"
2022,102010101,"328,05832","381,06720"
2023,101110042,"323,82910","444,50885"
2022,101110042,"303,75195","415,48525"
2023,102910076,"328,24471","456,09184"
2022,102910076,"315,62576","408,43621"
2023,108090093,"310,08264","348,74724"
2022,108090093,"293,17916","406,35571"
2023,102090252,"313,05433","374,44230"
2023,105910119,"322,41634","403,89830"
2022,105910119,"320,77183","372,71061"
2023,106690178,"314,32757","370,33147"
2022,106690178,"295,03912","412,12048"
2023,100410933,"318,52068","376,25703"
2022,100410933,"305,78364","443,42997"
2023,100710066,"314,81426","380,83659"
2022,100710066,"300,84877","450,75895"
2023,101110184,"309,61546","437,70247"
2022,101110184,"250,06445","429,44263"
2023,106770726,"314,58080","383,88535"
2022,106770726,"305,18775","373,45594"
2023,107010388,"310,75918","428,21913"
2022,107010388,"298,74213","383,16442"
2023,107890050,"318,52583","447,93908"
2022,107890050,"322,48157","355,82647"
2023,109290320,"302,82741","394,95590"
2022,109290320,"311,16664","411,93978"
2023,102190024,"315,33518","413,85982"
2022,102190024,"318,73810","426,16292"
2023,110390137,"306,25121","421,28198"
2022,110390137,"294,03384","352,21456"
2023,108910279,"299,20398","415,51659"
2022,108910279,"287,36756","460,22788"
2023,101190217,"322,25987","415,50059"
2022,101190217,"272,28510","349,24130"
2023,101410278,"322,18456","393,13173"
2022,101410278,"301,82601","413,88027"
2023,100590075,"313,14428","376,60070"
2022,100590075,"313,67965","357,95635"
2023,108910349,"298,38190","410,67972"
2022,108910349,"283,24701","406,13273"
2023,101110175,"298,28621","403,75997"
2022,101110175,"282,69728","470,49288"
2023,101990052,"301,29707","401,67716"
2022,101990052,"277,76542","320,18646"
2023,110090093,"326,91039","454,53229"
2022,110090093,"323,42288","426,99713"
2023,109090066,"309,63230","431,07574"
2022,109090066,"304,33089","379,23019"
2023,104890554,"426,67327","426,67327"
2023,107010749,"308,35882","387,61056"
2022,107010749,"312,05012","388,81395"
2023,105290042,"301,16912","375,26869"
2022,105290042,"308,96482","419,28454"
2023,108990298,"299,20572","344,19113"
2022,108990298,"287,29448","355,46816"
2023,101190528,"313,50061","313,50061"
2022,101190528,"212,48234","212,48234"
2023,105690823,"284,77532","284,77532"
2023,108911268,"297,45334","438,45424"
2022,108911268,"302,79559","371,74106"
2023,100590073,"302,48813","447,83791"
2022,100590073,"304,38257","375,87591"
2023,105610325,"291,48979","362,80105"
2022,105610325,"236,24848","380,75831"
2023,109110221,"290,85764","364,78149"
2022,109110221,"275,40854","363,06731"
2023,103010258,"343,23460","459,30635"
2022,103010258,"309,49566","455,64192"
2023,100210283,"323,01960","418,49441"
2022,100210283,"318,66840","440,65295"
2023,105990135,"294,75209","383,96861"
2022,105990135,"289,41657","427,18424"
2023,106190085,"301,91167","368,91676"
2022,106190085,"285,93261","356,22489"
2023,107290450,"370,52133","370,52133"
2022,107290450,"228,18435","228,18435"
2023,101110121,"297,07092","432,49389"
2022,101110121,"247,70863","428,99105"
2023,100890060,"295,02714","351,44353"
2022,100890060,"284,34717","332,34486"
2023,101410039,"292,38818","476,45101"
2022,101410039,"280,35720","422,02265"
2023,104810202,"321,10001","446,94159"
2022,104810202,"322,90736","406,86780"
2023,110790032,"291,66829","377,78813"
2022,110790032,"305,97981","359,14026"
2023,106690208,---,---
2023,106390074,"291,32369","430,93124"
2022,106390074,"279,79188","454,23781"
2023,106410396,"277,78525","356,10321"
2022,106410396,"263,19611","328,34600"
2023,108990440,"282,63049","431,38604"
2022,108990440,"286,25417","454,15837"
2023,102610097,"283,53099","353,30211"
2022,102610097,"269,96584","468,33678"
2023,102610149,"272,64834","438,75869"
2022,102610149,"252,46957","309,52323"
2023,107190037,"289,79498","418,25062"
2022,107190037,"270,86416","318,71445"
2023,108290346,"290,24509","415,76972"
2022,108290346,"283,54109","389,37794"
2023,101490366,"274,96020","451,49174"
2022,101490366,"265,54539","380,09271"
2023,101411091,"270,96063","367,57587"
2022,101411091,"251,75396","343,95127"
2023,109410306,"267,14425","368,39194"
2022,109410306,"215,07478","360,72043"
2023,108990381,"285,09022","457,01594"
2022,108990381,"285,90228","393,93475"
2023,102890056,"266,28465","356,06518"
2022,102890056,"247,74988","306,67436"
2023,101410357,"272,46014","409,44616"
2022,101410357,"250,19823","371,08709"
2023,101110166,"267,47600","445,24620"
2022,101110166,"220,07168","381,88686"
2023,103910073,"281,23879","430,91369"
2022,103910073,"267,88691","427,09474"
2023,105690657,"273,46570","435,19469"
2022,105690657,"319,88695","420,57734"
2023,109490282,"250,31467","411,01343"
2022,109490282,"182,68129","377,16286"
2023,111210060,"291,06976","418,89769"
2023,104790031,"259,70955","309,99748"
2022,104790031,"252,34154","408,36745"
2023,104910079,"278,33609","350,09312"
2022,104910079,"277,62678","367,27162"
2023,107210014,"281,65089","425,79781"
2022,107210014,"294,28110","422,33820"
2023,110910161,"275,42093","338,06702"
2022,110910161,"238,74664","339,40403"
2023,105090090,"262,02100","409,56637"
2022,105090090,"243,98657","475,71731"
2023,105090242,"306,14903","426,11265"
2023,106690180,"270,69294","454,99472"
2022,106690180,"259,18204","333,14288"
2023,101190216,"269,33140","390,34528"
2022,101190216,"194,06039","279,99366"
2023,101790163,"254,79359","335,68329"
2022,101790163,"243,40957","321,60356"
2023,101370286,"259,05372","330,12506"
2022,101370286,"217,42376","434,16127"
2023,100290059,"257,44643","308,37650"
2022,100290059,"257,09595","387,45071"
2023,101110342,"238,13064","456,95802"
2022,101110342,"197,97103","301,28276"
2023,101410048,"255,72367","404,05438"
2022,101410048,"261,10129","345,22182"
2023,103110018,"258,18804","426,29650"
2022,103110018,"292,20921","412,66780"
2023,110910154,"257,69992","275,13485"
2022,110910154,"219,82716","226,54491"
2023,106390075,"243,14868","461,59907"
2022,106390075,"236,68504","307,79175"
2023,107110157,"280,28988","426,25858"
2022,107110157,"268,01145","437,38195"
2023,109410254,"205,43911","443,94123"
2022,109410254,"166,93392","259,36808"
2023,105910146,"231,94302","373,60083"
2022,105910146,"145,89888","273,09746"
2023,102190155,"234,47345","388,46594"
2023,109790542,"203,50834","318,21737"
2022,109790542,"231,16984","368,46634"
2023,108910252,"234,04130","315,11529"
2022,108910252,"191,09899","265,72911"
2023,102090189,"230,96930","366,50507"
2023,109410263,"195,60996","274,31416"
2022,109410263,"154,96410","286,40642"
2023,106690177,"203,31299","272,03106"
2022,106690177,"156,74362","298,24916"
2023,102090063,"250,89450","387,92428"
2022,102090063,"254,58746","400,56937"
2023,100510208,"227,75490","285,05196"
2022,100510208,"172,24272","255,14522"
2023,105910401,"232,21773","373,93431"
