"2020 - 2021 ÖĞRETİM YILINDA VAKIF ÜNİVERSİTELERİNDE UYGULANAN ÜCRETLER VE ÖDEME KOŞULLARI","",""
"","Elektrik-Elektronik Mühendisliği  Bölümü(İngilizce)","38.000,00 TL"
"","Endüstri Mühendisliği  Bölümü (İngilizce)","32.000,00 TL"
"","Bilgisayar Mühendisliği  Bölümü(İngilizce)","44.000,00 TL"
"","Yazılım Mühendisliği  Bölümü(İngilizce)","38.000,00 TL"
"","Endüstriyel Tasarım  Bölümü","38.000,00 TL"
"","Mimarlık Bölümü","44.000,00 TL"
"","İç Mimarlık  Bölümü","44.000,00 TL"
"","Ebelik  Bölümü","38.000,00 TL"
"","Fizyoterapi ve Rehabilitasyon Bölümü (İngilizce)-(Türkçe)","44.000,00 TL"
"","Beslenme ve Diyetetik  Bölümü (Türkçe) (İngilizce)","54.000,00 TL"
"","Hemşirelik  Bölümü (Türkçe )-(İngilizce)","44.000,00 TL"
"ÖZYEĞİN ÜNİVERSİTESİ - İSTANBUL","Tüm Fakülte Fiyatları","78.200,00 TL"
"","Pilotaj  Bölümü","62.550,00 TL"
"","Havacılık Yönetimi  Bölümü","52.900,00 TL"
"","Otel Yöneticiliği  Bölümü","49.680,00 TL"
"","Gastronomi ve Mutfak Sanatları  Bölümü","52.900,00 TL"
"","Diş Hekimliği Fakültesi","97.000,00 TL"
"","Eczacılık Fakültesi","74 000,00 TL"
"","Tıp Fakültesi","90 000,00 TL"
"","Uygulamalı Bilimler  Bölümü","68.000,00 TL"
"","Mühendislik Fakültesi","60 000,00 TL"
"","Mimarlık Fakültesi","60 000,00 TL"
"","Fen-Edebiyat Fakültesi","52.000,00 TL"
"YEDİTEPE ÜNİVERSİTESİ - İSTANBUL","İktisadi ve İdari Bilimler Fakültesi","52.000,00 TL"
"","İletişim Fakültesi","52.000,00 TL"
"","Mimarlık Fakültesinin Endüstri Ürünleri Tasarımı  Bölümü","52.000,00 TL"
"","Ticari Bilimler Fakültesi","52.000,00 TL"
"","Güzel Sanatlar Fakültesi","47 000,00 TL"
"","Sağlık Bilimleri Fakültesi Beslenme ve Diyetetik Bölümü","40 000,00 TL"
"","Eğitim Fakültesi","40.000,00 TL"
"","Uygulamalı Bilimler  Bölümü","32.000,00 TL"
"","Uygulamalı Bilimler  Bölümü","32.000,00 TL"
"","Uygulamalı Bilimler ( Yabancı Dil Hazırlık)","16 000,00 TL"
"YAŞAR ÜNİVERSİTESİ - İZMİR","Hazırlık","44.160,00 TL"
"","Tüm Fakülteler","36.800,00 TL"
"","Uygulamalı Bilimler  Bölümü","42.320,00 TL"
"","Gastronomi ve Mutfak Sanatları  Bölümü","44.160,00 TL"
"YAKIN DOĞU ÜNİVERSİTESİ - KIBRIS","Tıp Fakültesi","75.500,00 TL"
"","Diş Hekimliği Fakültesi","62.000,00 TL"
"","Eczacılık Fakültesi","52.000,00 TL"
"","Veteriner Fakültesi","56.000,00 TL"
"","Hukuk Fakültesi","33.000,00 TL"
"","Hemşirelik Fakültesi","30.600,00 TL"
"","Sağlık Bilimleri Fakültesi","32,400,00 TL"
"","Mühendislik Fakültesi","32,400,00 TL"
"","İnşaat ve Çevre Mühendisliği Fakültesi","32,400,00 TL"
"","Mimarlık Fakültesi","32,400,00 TL"
"","Fen-Edebiyat Fakültesi","32,400,00 TL"
"","İletişim Fakültesi","32,400,00 TL"
"","Atatürk Eğitim Fakültesi","32,400,00 TL"
"","Güzel Sanatlar ve Tasarım Fakültesi","32,400,00 TL"
"","Sahne Sanatları Fakültesi","32,400,00 TL"
"","İktisadi ve İdari Bilimler Fakültesi","32,400,00 TL"
"","Spor Bilimleri Fakültesi","32,400,00 TL"
"","Turizm ve Otel İşletmeciliği Bölümü","32,400,00 TL"
"","Turizm ve Otelcilik  Bölümü","32,400,00 TL"
"","Sağlık Bilimleri  Bölümü","32,400,00 TL"
"","Sağlık Hizmetleri  Bölümü","30,600,00 TL"
"KADİR HAS ÜNİVERSİTESİ - İSTANBUL","İletişim Fakültesi","66.240,00 TL"
"","Hukuk Fakültesi","66.240,00 TL"
"","İletişim Fakültesi","66.240,00 TL"
"","İşletme Fakültesi","66.240,00 TL"
"","Sanat ve Tasarım Fakültesi","66.240,00 TL"
"","Diş Hekimliği Fakültesi","66.240,00 TL"
"","Tiyatro Bölümü","59.800, 00 TL"
"KAPADOKYA ÜNİVERSİTESİ - NEVŞEHİR","Diş Hekimliği Fakültesi","35.650,00 TL"
"","Dil ve Konuşma Terapisi","35.650,00 TL"
"","Gastronomi ve Mutfak Sanatları","35.650,00 TL"
"","İngiliz Dili ve Edebiyatı","35.650,00 TL"
"","İngilizce Mütercim Tercümanlık","35.650,00 TL"
"","Psikoloji","35.650,00 TL"
"","Havacılık Elektrik ve Elektroniği","35.650,00 TL"
"","Havacılık Yönetimi","35,650.00 TL"
"","Uçak Gövde ve Motor Bakımı","35.650,00 TL"
"İSTANBUL GEDİK ÜNİVERSİTESİ - İSTANBUL","Spor Bilimleri Fakültesi","45.885 TL"
"","Mühendislik Fakültesi","46.460 TL"
"","İktisadi, İdari ve Sosyal Bilimler Fakültesi","46.460 TL"
"","Güzel Sanatlar ve Mimarlık Fakültesi","46.460 TL"
"","Sağlık Bilimleri Fakültesi","46.460 TL"
"","Hukuk Fakültesi","51.750 TL"
"İSTANBUL MEDİPOL ÜNİVERSİTESİ","Uluslararası Tıp Fakültesi","45.000 TL"
"","Tıp Fakültesi","86.000 TL"
"","Diş Hekimliği Fakültesi Türkçe ve İngilizce","86.000 TL"
"","Eczacılık Fakültesi Türkçe ve İngilizce","78.000 TL"
"","Hukuk Fakültesi için zorunlu hazırlık sınıfı dahil","56.500 TL"
"","Mühendislik ve Doğa Bilimleri Fakültesi zorunlu hazırlık dahil","45.000 TL"
"","Fizyoterapi ve Rehabilitasyon Bölümü Türkçe ve İngilizce","42.500 TL"
"","Beslenme ve Diyetetik Bölümü","41.000 TL"
"","Endüstriyel Tasarım Bölümü","41.000 TL"
"","Ortez ve Protez Bölümü","36.500 TL"
"","Çocuk Gelişimi Bölümü","36.500 TL"
"","Dil ve Konuşma Terapisi Bölümü","34.000 TL"
"","Ergoterapi Bölümü","34.000 TL"
