Üniversite,Bölüm/Fakülte,Ücret,Burs oranı,Akademik yıl
Antalya Akev Üniversitesi,Sosyoloji,42.500 TL, %50 İndirim ,2022
Haliç Üniversitesi,Tıp Fakültesi İngilizce ( %25 Burslu) - 118.260 TL,118.260 TL,2022
Haliç Üniversitesi,Psikoloji - 86.400 TL,86.400 TL,2022
Haliç Üniversitesi,Psikoloji İngilizce - 90.720 TL,90.720 TL,2022
Haliç Üniversitesi,Matematik ( %50 Burslu) - 37.800 TL,37.800 TL,2022
Haliç Üniversitesi,Türk Dili ve Edebiyatı ( %50 Burslu) - 35.640 TL,35.640 TL,2022
Haliç Üniversitesi,İşletme (%50 Burslu) - 35.640 TL,35.640 TL,2022
Haliç Üniversitesi,Uluslararası Ticaret ve İşletmecilik - 35.640 TL,35.640 TL,2022
Haliç Üniversitesi,Yönetim Bilişimleri Sistemleri (%50 Burslu) - 39.960 TL,39.960 TL,2022
Haliç Üniversitesi,Siyaset Bilimi ve Uluslararası İlişkiler (%50 Burslu) - 35.640 TL,35.640 TL,2022
Haliç Üniversitesi,Bilgisayar Mühendisliği  (%50 Burslu) - 41.040 TL,41.040 TL,2022
Haliç Üniversitesi,Makine Mühendisliği (%50 Burslu) - 32.400 TL,32.400 TL,2022
Haliç Üniversitesi,Yazılım Mühendisliği ( %50 Burslu) - 41.040 TL,41.040 TL,2022
Haliç Üniversitesi,Mimarlık (%50 Burslu) - 36.720 TL,36.720 TL,2022
Haliç Üniversitesi,İç Mimarlık (%50 Burslu) -  45.360 TL,45.360 TL,2022
Haliç Üniversitesi,Endüstriyel Tasarım -32.400 TL,32.400 TL,2022
Haliç Üniversitesi,Görsel İletişim ve Tasarım (%50 İndirimli) - 38.880 TL,38.880 TL,2022
Haliç Üniversitesi,Gastronomi ve Mutfak Sanatları (%50 İndirimli) - 41.040 TL,41.040 TL,2022
İstanbul 29 Mayıs Üniversitesi,Felsefe - 48.500 TL,48.500 TL,2022
İstanbul 29 Mayıs Üniversitesi,İngilizce Hazırlık - 49.500 TL,49.500 TL,2022
İstanbul 29 Mayıs Üniversitesi,İngilizce Öğretmenliği - 50. 000 TL,000 TL,2022
İstanbul 29 Mayıs Üniversitesi,Okul Öncesi Öğretmenliği - 50.000 TL,50.000 TL,2022
İstanbul 29 Mayıs Üniversitesi,Rehberlik ve Psikolojik Danışmanlık - 50.000 TL,50.000 TL,2022
İstanbul 29 Mayıs Üniversitesi,Tarih - 48.500 TL,48.500 TL,2022
İstanbul 29 Mayıs Üniversitesi,Türk Dili ve Edebiyatı - 48.500 TL,48.500 TL,2022
İstanbul 29 Mayıs Üniversitesi,Türkçe Öğretmenliği - 50.000 TL,50.000 TL,2022
İstanbul 29 Mayıs Üniversitesi,Ekonomi - 55.600 TL,55.600 TL,2022
İstanbul 29 Mayıs Üniversitesi,Siyaset Bilimi ve Uluslararası İlişkiler - 55.600 TL,55.600 TL,2022
İstanbul 29 Mayıs Üniversitesi,Psikoloji - 60. 000 TL,000 TL,2022
İstanbul 29 Mayıs Üniversitesi,Hukuk - 70.000 TL,70.000 TL,2022
İstanbul Altınbaş Üniversitesi,Güzel Sanatlar ve Tasarım Fakültesi (%50 Burslu) - 34.828 TL,34.828 TL,2022
İstanbul Altınbaş Üniversitesi,İktisadi İdari ve Sosyal Bilimler Fakültesi (%50 Burslu) - 34.828 TL,34.828 TL,2022
İstanbul Altınbaş Üniversitesi,İşletme (%50 Burslu) - 34.828 TL,34.828 TL,2022
İstanbul Altınbaş Üniversitesi,Mühendislik Fakültesi  (%50 Burslu) - 34.828 TL,34.828 TL,2022
İstanbul Altınbaş Üniversitesi,Tıp Fakültesi (%50 Burslu) - 60.821 TL,60.821 TL,2022
İstanbul Altınbaş Üniversitesi,Diş Hekimliği (%25 Burslu) - 84.712 TL,84.712 TL,2022
İstanbul Altınbaş Üniversitesi,Eczacılık Fakültesi - 80.052 TL,80.052 TL,2022
İstanbul Altınbaş Üniversitesi,Hukuk Fakültesi (%50 Burslu) - 40. 026 TL,026 TL,2022
İstanbul Aydın Üniversitesi,Beden Eğitimi ve Spor Öğretmenliği (%50 Burslu) -32.000 TL,32.000 TL,2022
İstanbul Aydın Üniversitesi,Mimarlık Fakültesi - 32.000 TL,32.000 TL,2022
İstanbul Aydın Üniversitesi,Hemşirelik - 39.000,,2022
İstanbul Aydın Üniversitesi,Beslenme ve Diyetetik (%25 İndirimli) - 39.000 TL,39.000 TL,2022
İstanbul Aydın Üniversitesi,Gastronomi ve Mutfak Sanatları - 55.000,,2022
İstanbul Aydın Üniversitesi,Eğitim Fakültesi (%50 Burslu) - 22.400 TL,22.400 TL,2022
İstanbul Aydın Üniversitesi,Pilotaj (İngilizce) - 91.000 TL,91.000 TL,2022
İstanbul Aydın Üniversitesi,Psikoloji - 64.000 TL,64.000 TL,2022
İstanbul Aydın Üniversitesi,Hukuk (%50 İndirimli) - 43.000 TL,43.000 TL,2022
İstanbul Aydın Üniversitesi,Diş Hekimliği Fakültesi - 115.000 TL,115.000 TL,2022
İstanbul Aydın Üniversitesi,Tıp Fakültesi - 115.000 TL,115.000 TL,2022
İstanbul Okan Üniversitesi,Spor Yöneticiliği - 100.965 TL,100.965 TL,2022
İstanbul Okan Üniversitesi,Bilişim Sistemleri ve Teknoloji (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Havacılık Yönetimi (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Halkla İlişkiler ve Reklamcılık (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Gastronomi ve Mutfak Sanatları (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Tıp Fakültesi (Türkçe ve İngilizce) - 189. 210 TL,210 TL,2022
İstanbul Okan Üniversitesi,Mimarlık (%50 Burslu) - 61.573 TL,61.573 TL,2022
İstanbul Okan Üniversitesi,Fizyoterapi ve Rehabilitasyon - 61.446 TL,61.446 TL,2022
