,İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,VAKIF MYO,İSTANBUL,BİRİNCİ Ö.,263,586,849,0,0,0,0,0,0,0,0,0,263,586,849,
,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,124,270,394,376,725,1101,1,7,8,2,13,15,503,1015,1518,
,İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,VAKIF MYO,İSTANBUL,BİRİNCİ Ö.,1251,2202,3453,0,0,0,0,0,0,0,0,0,1251,2202,3453,
,İSTANBUL TEKNİK ÜNİVERSİTESİ,DEVLET,İSTANBUL,BİRİNCİ Ö.,0,0,0,16790,8721,25511,4585,2950,7535,2077,1669,3746,23452,13340,36792,
,İSTANBUL TİCARET ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1,0,1,3365,2825,6190,1096,957,2053,337,220,557,4799,4002,8801,
,İSTANBUL TOPKAPI ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1900,2180,4080,1351,1234,2585,470,330,800,6,2,8,3727,3746,7473,
,İSTANBUL ÜNİVERSİTESİ,DEVLET,İSTANBUL,BİRİNCİ Ö.,268,264,532,20079,20797,40876,3509,4024,7533,2931,3099,6030,26787,28184,54971,
,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,DEVLET,İSTANBUL,BİRİNCİ Ö.,4222,3043,7265,8518,8848,17366,894,1214,2108,901,1228,2129,14535,14333,28868,
,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,796,1204,2000,2391,2923,5314,450,433,883,48,24,72,3685,4584,8269,
,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,0,0,0,794,1420,2214,152,225,377,53,55,108,999,1700,2699,
,İSTİNYE ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1012,1635,2647,3219,5158,8377,159,305,464,24,43,67,4414,7141,11555,
,İZMİR BAKIRÇAY ÜNİVERSİTESİ,DEVLET,İZMİR,BİRİNCİ Ö.,158,190,348,1984,2493,4477,234,255,489,17,17,34,2393,2955,5348,
,İZMİR DEMOKRASİ ÜNİVERSİTESİ,DEVLET,İZMİR,BİRİNCİ Ö.,150,210,360,3840,4510,8350,172,272,444,14,37,51,4176,5029,9205,
,İZMİR EKONOMİ ÜNİVERSİTESİ,VAKIF,İZMİR,BİRİNCİ Ö.,857,999,1856,3554,3856,7410,182,353,535,34,54,88,4627,5262,9889,
