academicYear,universityName,universityType,totalForeignStudents,totalStudentNumber
2022,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,DEVLET,2363,16475
2022,ANTALYA AKEV ÜNİVERSİTESİ,VAKIF,58,587
2022,ANTALYA BİLİM ÜNİVERSİTESİ,VAKIF,730,3714
2022,ARDAHAN ÜNİVERSİTESİ,DEVLET,106,2484
2022,ARTVİN ÇORUH ÜNİVERSİTESİ,DEVLET,671,4420
2022,ATATÜRK ÜNİVERSİTESİ,DEVLET,6692,28535
2022,ATILIM ÜNİVERSİTESİ,VAKIF,772,8245
2022,AVRASYA ÜNİVERSİTESİ,VAKIF,57,2488
2022,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,DEVLET,492,21924
2022,BAHÇEŞEHİR ÜNİVERSİTESİ,VAKIF,5790,20162
2022,BALIKESİR ÜNİVERSİTESİ,DEVLET,314,14490
2022,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,DEVLET,1825,7551
2022,BARTIN ÜNİVERSİTESİ,DEVLET,1651,8696
2022,BAŞKENT ÜNİVERSİTESİ,VAKIF,378,12278
2022,BATMAN ÜNİVERSİTESİ,DEVLET,212,4727
2022,BAYBURT ÜNİVERSİTESİ,DEVLET,134,4900
2022,BEYKENT ÜNİVERSİTESİ,VAKIF,1093,17818
2022,BEYKOZ ÜNİVERSİTESİ,VAKIF,392,2332
2022,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,VAKIF,14,2125
2022,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,DEVLET,1422,7915
2022,BİNGÖL ÜNİVERSİTESİ,DEVLET,244,5777
2022,BİRUNİ ÜNİVERSİTESİ,VAKIF,1044,7016
2022,BİTLİS EREN ÜNİVERSİTESİ,DEVLET,90,3317
2022,BOĞAZİÇİ ÜNİVERSİTESİ,DEVLET,241,12772
2022,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,DEVLET,1615,16739
2022,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,DEVLET,980,14707
2022,BURSA TEKNİK ÜNİVERSİTESİ,DEVLET,740,6901
2022,BURSA ULUDAĞ ÜNİVERSİTESİ,DEVLET,5473,32100
2022,ÇAĞ ÜNİVERSİTESİ,VAKIF,20,2569
2022,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,DEVLET,1792,22429
2022,ÇANKAYA ÜNİVERSİTESİ,VAKIF,61,5574
2022,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,DEVLET,4769,8103
2022,ÇUKUROVA ÜNİVERSİTESİ,DEVLET,1436,25809
2022,DEMİROĞLU BİLİM ÜNİVERSİTESİ,VAKIF,10,1965
2022,DİCLE ÜNİVERSİTESİ,DEVLET,1116,18670
2022,DOĞUŞ ÜNİVERSİTESİ,VAKIF,195,7029
2022,DOKUZ EYLÜL ÜNİVERSİTESİ,DEVLET,1762,35782
2022,DÜZCE ÜNİVERSİTESİ,DEVLET,1849,15454
2022,EGE ÜNİVERSİTESİ,DEVLET,1903,31446
2022,ERCİYES ÜNİVERSİTESİ,DEVLET,2959,27605
2022,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,DEVLET,889,11333
2022,ERZURUM TEKNİK ÜNİVERSİTESİ,DEVLET,99,2797
2022,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,DEVLET,1546,17820
2022,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,DEVLET,407,8892
2022,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,VAKIF,868,5265
2022,FENERBAHÇE ÜNİVERSİTESİ,VAKIF,323,2393
2022,FIRAT ÜNİVERSİTESİ,DEVLET,1430,18911
2022,GALATASARAY ÜNİVERSİTESİ,DEVLET,22,2646
2022,GAZİ ÜNİVERSİTESİ,DEVLET,1277,26280
