academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2023,BAHÇEÞEHÝR ÜNÝVERSÝTESÝ,Uygulamalý Bilimler Yüksekokulu,Gastronomi ve Mutfak Sanatlarý,200590190,SÖZ,English,100,7,7,,,,ÝSTANBUL,Marmara,1,1,1,940,423,171.471,281.387,,,"%50,0","%50,0",237,,"%14,8","%51,1","%84,0","4,8",,"2,9",%,"%87,5","%100,0",,11,39,50,14,23
2022,BAHÇEÞEHÝR ÜNÝVERSÝTESÝ,Uygulamalý Bilimler Yüksekokulu,Gastronomi ve Mutfak Sanatlarý,200590190,SÖZ,English,100,7,7,,,,ÝSTANBUL,Marmara,---,---,---,2.241,745,181.197,357.304,,,"%42,9","%57,1",390,,"%13,8","%51,3",315,"4,9",,"2,7","%14,3","%85,7","%100,0",,13,34,47,12,17
2021,BAHÇEÞEHÝR ÜNÝVERSÝTESÝ,Uygulamalý Bilimler Yüksekokulu,Gastronomi ve Mutfak Sanatlarý,200590190,SÖZ,English,100,6,6,,,,ÝSTANBUL,Marmara,---,---,---,1.728,781,212.276,296.017,,,"%33,3","%66,7",628,,"%27,1","%50,6","%81,5","5,0",,"2,0","%50,0","%100,0","%100,0",,1,46,47,20,
2023,KADÝR HAS ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,Görsel Ýletiþim Tasarýmý,203711548,SÖZ,English,100,5,5,,,,ÝSTANBUL,Marmara,1,---,3,909,163,179.813,251.602,,,"%100,0","%33,3",157,,"%14,0","%42,0","%87,3","4,8",,"3,7","%16,7","%50,0","%100,0",,7,25,32,16,30
2022,KADÝR HAS ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,Görsel Ýletiþim Tasarýmý,203711548,SÖZ,English,100,6,6,,,,ÝSTANBUL,Marmara,---,1,3,2.060,1.155,126.183,171.116,,,"%66,7","%66,7",214,,"%9,3","%39,3",173,"5,8",,"3,7","%16,7","%50,0","%100,0",,24,43,67,10,26
2021,KADÝR HAS ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,Görsel Ýletiþim Tasarýmý,203711548,SÖZ,English,100,5,5,,,,ÝSTANBUL,Marmara,---,1,2,2.265,846,183.531,240.491,,,"%100,0","%40,0",240,,"%7,5","%36,3","%75,8","6,2",,"4,6",%,%,"%100,0",,1,42,43,15,18
2023,YEDÝTEPE ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,"Radyo, Televizyon ve Sinema",206110556,SÖZ,English,100,9,9,,,,ÝSTANBUL,Marmara,2,---,3,1.392,468,131.503,187.905,,,"%60,0","%60,0",193,,"%17,1","%43,5","%78,2","5,4",,"2,2","%30,0","%80,0","%100,0",,17,34,51,22,53
2022,YEDÝTEPE ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,"Radyo, Televizyon ve Sinema",206110556,SÖZ,English,100,10,10,,,,ÝSTANBUL,Marmara,2,1,2,1.584,185,102.775,193.921,,,"%50,0","%50,0",334,,"%16,5","%39,2",263,"6,0",,"1,8","%50,0","%100,0","%100,0",,22,58,80,24,67
2021,YEDÝTEPE ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,"Radyo, Televizyon ve Sinema",206110556,SÖZ,English,100,10,10,,,,ÝSTANBUL,Marmara,2,1,2,2.279,355,151.633,250.196,,,"%80,0","%30,0",243,,"%10,7","%36,6","%81,9","5,9",,"2,3","%40,0","%80,0","%100,0",,49,83,133,27,58
2023,YEDÝTEPE ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,Gazetecilik,206110511,SÖZ,English,100,3,3,,,,ÝSTANBUL,Marmara,1,1,3,1.367,958,265.304,409.387,,,"%100,0","%75,0",74,,"%14,9","%45,9","%75,7","5,1",,"2,0",%,"%100,0","%100,0",,10,12,22,3,15
