academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2022,KOÇ ÜNÝVERSÝTESÝ,Fen Fakültesi,Matematik,203910115,SAY,English,100,4,4,,,,ÝSTANBUL,Marmara,9,1,2,660,223,2.179,2.876,,,"%100,0","%25,0",186,,"%33,9","%51,1",149,"5,8",,"2,0","%25,0","%100,0","%100,0",,10,20,30,6,85
2021,KOÇ ÜNÝVERSÝTESÝ,Fen Fakültesi,Matematik,203910115,SAY,English,100,10,10,,,,ÝSTANBUL,Marmara,9,1,2,605,16,1.651,4.236,,,"%100,0","%10,0",163,,"%26,4","%45,4","%84,7","5,3",,"1,4","%70,0","%100,0","%100,0",,24,42,66,17,95
2023,SABANCI ÜNÝVERSÝTESÝ,Mühendislik ve Doða Bilimleri Fakültesi,Mühendislik ve Doða Bilimleri Programlarý,205110117,SAY,English,100,81,81,,,,ÝSTANBUL,Marmara,---,---,1,1.436,129,2.131,8.205,,,"%81,4","%32,6",1311,,"%25,1","%57,1","%92,3","3,9",,"2,3","%45,3","%81,4","%100,0",,537,397,934,85,146
2022,SABANCI ÜNÝVERSÝTESÝ,Mühendislik ve Doða Bilimleri Fakültesi,Mühendislik ve Doða Bilimleri Programlarý,205110117,SAY,English,100,85,85,,,,ÝSTANBUL,Marmara,46,17,38,1.054,8,2.118,10.728,,,"%84,7","%37,7",1.343,,"%23,8","%56,2",1255,"3,8",,"2,1","%47,1","%85,9","%100,0",,385,342,727,86,174
2021,SABANCI ÜNÝVERSÝTESÝ,Mühendislik ve Doða Bilimleri Fakültesi,Mühendislik ve Doða Bilimleri Programlarý,205110117,SAY,English,100,75,75,,,,ÝSTANBUL,Marmara,47,18,41,1.316,36,2.735,14.074,,,"%77,3","%40,0",1.210,,"%22,3","%52,7","%92,0","4,2",,"2,2","%52,0","%81,3","%100,0",,382,346,728,81,101
2023,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Makine Mühendisliði,203910487,SAY,English,100,10,10,,,,ÝSTANBUL,Marmara,9,2,1,1.151,118,1.931,5.619,,,"%84,6","%38,5",394,,"%14,5","%34,5","%79,2","5,9",,"2,5","%30,8","%76,9","%100,0",,45,44,89,24,78
2022,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Makine Mühendisliði,203910487,SAY,English,100,14,14,,,,ÝSTANBUL,Marmara,9,2,2,1.658,163,2.009,7.149,,,"%71,4","%42,9",315,,"%15,9","%40,6",253,"5,3",,"2,8","%28,6","%78,6","%100,0",,57,81,138,36,78
2021,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Makine Mühendisliði,203910487,SAY,English,100,13,13,,,,ÝSTANBUL,Marmara,8,3,2,1.420,445,3.646,10.803,,,"%76,9","%61,5",411,,"%20,2","%44,8","%85,6","5,1",,"2,6","%30,8","%76,9","%100,0",,62,55,117,37,60
2023,KOÇ ÜNÝVERSÝTESÝ,Fen Fakültesi,Moleküler Biyoloji ve Genetik,203910557,SAY,English,100,4,4,,,,ÝSTANBUL,Marmara,2,1,5,796,18,522,978,,,"%66,7","%50,0",294,,"%45,6","%58,2","%77,9","4,3",,"1,2","%83,3","%100,0","%100,0",,8,21,29,8,66
2022,KOÇ ÜNÝVERSÝTESÝ,Fen Fakültesi,Moleküler Biyoloji ve Genetik,203910557,SAY,English,100,5,5,,,,ÝSTANBUL,Marmara,1,2,5,571,38,2.115,4.690,,,"%40,0","%60,0",364,,"%41,5","%57,7",295,"4,5",,"1,0","%100,0","%100,0","%100,0",,10,14,24,8,79
