academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2022,NİŞANTAŞI ÜNİVERSİTESİ,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",Yeni Medya ve İletişim,204590535,SÖZ,English,50,43,43.0,,,,İSTANBUL,Marmara,---,---,---,352.694,52.081,803.976,1.863.995,,,"%30,2","%81,4",448.0,,"%15,8","%37,7",313,"7,3",,"2,9","%25,6","%76,7","%95,3",,70,374.0,447.0,146.0,88.0
2021,NİŞANTAŞI ÜNİVERSİTESİ,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",Yeni Medya ve İletişim,204590535,SÖZ,English,50,28,28.0,,,,İSTANBUL,Marmara,---,---,---,482.887,119.054,915.577,1.451.027,,,"%17,9","%85,7",123.0,,"%17,1","%44,7","%76,4","6,0",,"2,1","%46,4","%82,1","%100,0",,24,245.0,269.0,118.0,30.0
2023,İSTANBUL OKAN ÜNİVERSİTESİ,Uygulamalı Bilimler Fakültesi,Gastronomi ve Mutfak Sanatları,204790577,SÖZ,English,50,34,23.0,,,,İSTANBUL,Marmara,---,---,---,1.516.261,324.008,1.508.870,2.699.595,,,"%43,5","%82,6",119.0,,"%6,7","%31,1","%73,1","7,3",,"4,6","%34,8","%56,5","%87,0",,77,237.0,316.0,134.0,36.0
2022,İSTANBUL OKAN ÜNİVERSİTESİ,Uygulamalı Bilimler Fakültesi,Gastronomi ve Mutfak Sanatları,204790577,SÖZ,English,50,25,25.0,,,,İSTANBUL,Marmara,---,---,---,752.468,140.907,1.109.313,2.116.656,,,"%24,0","%88,0",139.0,,"%8,6","%25,9",88,"8,6",,"3,8","%24,0","%68,0","%96,0",,45,256.0,303.0,146.0,28.0
2021,İSTANBUL OKAN ÜNİVERSİTESİ,Uygulamalı Bilimler Fakültesi,Gastronomi ve Mutfak Sanatları,204790577,SÖZ,English,50,34,5.0,,,,İSTANBUL,Marmara,---,---,---,518.108,187.893,953.555,1.377.157,,,"%60,0","%80,0",39.0,,"%2,6","%30,8","%69,2","7,8",,"3,0","%20,0","%80,0","%100,0",,4,49.0,53.0,38.0,
2023,İSTANBUL OKAN ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Görsel İletişim Tasarımı ,204712685,SÖZ,Turkish,50,34,25.0,,,,İSTANBUL,Marmara,---,---,---,1.170.632,532.584,1.563.640,2.357.433,,,"%20,0","%100,0",207.0,,"%5,3","%20,8","%60,4","8,7",,"3,7","%44,0","%72,0","%88,0",,32,284.0,317.0,74.0,60.0
2022,İSTANBUL OKAN ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Görsel İletişim Tasarımı ,204712685,SÖZ,Turkish,50,25,25.0,,,,İSTANBUL,Marmara,---,---,---,979.739,187.094,1.365.615,2.236.928,,,"%36,0","%76,0",129.0,,"%0,8","%16,3",59,"10,3",,"7,4","%4,0","%44,0","%72,0",,20,412.0,438.0,119.0,50.0
2021,İSTANBUL OKAN ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Görsel İletişim Tasarımı ,204712685,SÖZ,Turkish,50,17,3.0,,,,İSTANBUL,Marmara,---,---,---,556.242,421.605,749.862,1.071.230,,,"%33,3","%66,7",32.0,,"%3,1","%12,5","%50,0","10,1",,"2,7","%33,3","%66,7","%100,0",,---,18.0,18.0,10.0,26.0
2023,İSTANBUL OKAN ÜNİVERSİTESİ,Uygulamalı Bilimler Fakültesi,Halkla İlişkiler ve Reklamcılık ,204790520,SÖZ,Turkish,50,34,34.0,,,,İSTANBUL,Marmara,---,---,---,1.312.870,249.255,1.890.581,2.518.971,,,"%35,3","%85,3",276.0,,"%4,0","%17,8","%49,6","10,0",,"4,4","%29,4","%61,8","%91,2",,88,423.0,512.0,76.0,68.0
2022,İSTANBUL OKAN ÜNİVERSİTESİ,Uygulamalı Bilimler Fakültesi,Halkla İlişkiler ve Reklamcılık ,204790520,SÖZ,Turkish,50,25,25.0,,,,İSTANBUL,Marmara,---,---,---,1.233.693,600.936,1.798.779,2.705.534,,,"%20,0","%88,0",125.0,,"%2,4","%7,2",50,"11,8",,"8,4","%12,0","%28,0","%72,0",,69,410.0,479.0,59.0,49.0
2021,İSTANBUL OKAN ÜNİVERSİTESİ,Uygulamalı Bilimler Fakültesi,Halkla İlişkiler ve Reklamcılık ,204790520,SÖZ,Turkish,50,21,4.0,,,,İSTANBUL,Marmara,---,---,---,480.801,128.220,1.048.724,1.342.658,,,"%50,0","%100,0",32.0,,"%6,3","%18,8","%62,5","8,1",,"1,8","%50,0","%100,0","%100,0",,9,23.0,32.0,10.0,24.0
2023,İSTANBUL OKAN ÜNİVERSİTESİ,Eğitim Fakültesi,Okul Öncesi Öğretmenliği ,204712252,SÖZ,Turkish,50,43,28.0,,,,İSTANBUL,Marmara,---,---,---,273.186,95.454,921.330,1.565.477,,,"%53,6","%67,9",125.0,,"%10,4","%35,2","%72,8","7,0",,"2,8","%46,4","%89,3","%92,9",,138,169.0,321.0,83.0,89.0
2022,İSTANBUL OKAN ÜNİVERSİTESİ,Eğitim Fakültesi,Okul Öncesi Öğretmenliği ,204712252,SÖZ,Turkish,50,42,42.0,,,,İSTANBUL,Marmara,---,---,---,191.366,87.088,840.371,1.463.552,,,"%66,7","%52,4",192.0,,"%10,4","%41,1",140,"7,2",,"4,3","%11,9","%64,3","%92,9",,154,276.0,461.0,196.0,98.0
2021,İSTANBUL OKAN ÜNİVERSİTESİ,Eğitim Fakültesi,Okul Öncesi Öğretmenliği ,204712252,SÖZ,Turkish,50,34,34.0,,,,İSTANBUL,Marmara,---,---,---,219.695,109.017,840.099,1.394.846,,,"%73,5","%44,1",130.0,,"%6,9","%33,8","%70,0","7,7",,"5,4","%8,8","%55,9","%88,2",,90,274.0,372.0,232.0,89.0
2023,İSTANBUL OKAN ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Sinema ve Televizyon ,204710926,SÖZ,Turkish,50,30,29.0,,,,İSTANBUL,Marmara,---,---,---,1.543.214,298.191,2.132.187,2.890.903,,,"%34,5","%82,8",201.0,,"%5,0","%17,9","%50,2","9,7",,"6,0","%34,5","%51,7","%75,9",,87,297.0,394.0,33.0,46.0
