academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Endüstri Mühendisliği,202110753,SAY,İngilizce,50,35,35,,,,ANKARA,İç Anadolu,---,---,---,7.583,2.517,10.104,41.035,,,"% 48,6","% 74,3",423,,"% 12,8","% 38,1","% 81,1","5,9",,"5,2","% 2,9","% 22,9","% 91,4",,237,220,457,157,172
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Makine Mühendisliği,202110886,SAY,İngilizce,50,22,22,,,,ANKARA,İç Anadolu,---,---,---,7.769,3.93,12.986,28.978,,,"% 27,3","% 72,7",303,,"% 6,9","% 29,0","% 79,9","6,5",,"5,7","% 0,0","% 40,9","% 90,9",,133,125,258,99,112
2024,ANKARA MEDİPOL ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,209210053,SAY,,100,12,12,,,,ANKARA,İç Anadolu,12,4,23,8.566,5.391,10.488,31.321,,,"% 53,3","% 60,0",916,,"% 14,7","% 25,7","% 68,6","7,5",,"6,1","% 13,3","% 13,3","% 93,3",,126,43,169,158,46
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,205411024,SAY,,50,6,6,,,,ANKARA ,,---,---,---,8.734,1.549,8.808,18.284,,,"% 83,3",,99,,"% 5,1","% 28,3","% 65,7","7,7",,"4,0","% 0,0","% 66,7","% 100,0",,32,37,69,69,50
2024,ÖZYEĞİN ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Makine Mühendisliği,204810158,SAY,İngilizce,100,9,9,,,,İSTANBUL,Marmara,3,4,3,8.917,5.139,9.87,25.246,,,"% 90,9","% 54,5",206,,"% 3,4","% 15,5","% 55,8","9,4",,"4,9","% 0,0","% 36,4","% 100,0",,97,26,123,35,33
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Malzeme Bilimi ve Nanoteknoloji Mühendisliği,205410529,SAY,,100,6,6,,,,ANKARA ,,4,1,3,8.956,6.638,11.352,15.313,,,"% 71,4",,151,,"% 5,3","% 14,6","% 54,3","9,3",,"5,7","% 0,0","% 28,6","% 85,7",,51,19,70,6,25
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Bilgisayar Mühendisliği,205410326,SAY,,50,25,25,,,,ANKARA ,,---,---,---,9.175,2.902,9.127,28.186,,,"% 56,0",,180,,"% 10,0","% 30,0","% 78,9","6,6",,"5,2","% 8,0","% 40,0","% 92,0",,154,155,309,127,148
2024,LOKMAN HEKİM ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,208810010,SAY,,100,8,8,,,,ANKARA ,,55,20,43,9.287,5.971,9.063,19.202,,,"% 40,0",,546,,"% 3,5","% 13,2","% 61,7","8,7",,"4,5","% 20,0","% 30,0","% 100,0",,61,49,110,99,89
2024,BAHÇEŞEHİR ÜNİVERSİTESİ,vak�f,Mühendislik ve Doğa Bilimleri Fakültesi,Bilgisayar Mühendisliği,200510437,SAY,İngilizce,100,15,15,,,,İSTANBUL ,,---,1,6,9.295,4.996,13.334,25.562,,,"% 72,2",,340,,"% 6,2","% 18,5","% 62,9","8,8",,"5,4","% 5,6","% 38,9","% 94,4",,120,109,229,125,91
2024,ANKARA MEDİPOL ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,209210050,SAY,İngilizce,100,12,12,,,,ANKARA,İç Anadolu,12,4,23,9.745,7.553,10.36,26.885,,,"% 92,3","% 23,1",537,,"% 5,8","% 23,3","% 59,0","8,5",,"7,3","% 7,7","% 15,4","% 84,6",,100,82,182,164,42
