ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,ADANA,SURİYE ARAP CUMHURİYETİ,5,4,9
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,AFGANİSTAN İSLAM CUMHURİYETİ,1,2,3
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,ALMANYA FEDERAL CUMHURİYETİ,2,1,3
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,AMERİKA BİRLEŞİK DEVLETLERİ,1,1,2
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,AVUSTURYA CUMHURİYETİ,0,1,1
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,AZERBAYCAN CUMHURİYETİ,2,4,6
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,BELÇİKA KRALLIĞI,1,0,1
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,BULGARİSTAN CUMHURİYETİ,1,2,3
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,FİLDİŞİ SAHİLİ CUMHURİYETİ,1,0,1
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,FİLİSTİN DEVLETİ,7,4,11
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,IRAK CUMHURİYETİ,6,2,8
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,İRAN İSLAM CUMHURİYETİ,2,6,8
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,İSVEÇ KRALLIĞI,0,1,1
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,KAZAKİSTAN CUMHURİYETİ,1,1,2
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,MISIR ARAP CUMHURİYETİ,2,1,3
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,NİJERYA FEDERAL CUMHURİYETİ,1,0,1
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,ÖZBEKİSTAN CUMHURİYETİ,2,3,5
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,RUSYA FEDERASYONU,1,0,1
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,SOMALİ FEDERAL CUMHURİYETİ,1,0,1
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,SURİYE ARAP CUMHURİYETİ,135,122,257
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,TÜRKMENİSTAN,1,0,1
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,UKRAYNA,0,1,1
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,YEMEN CUMHURİYETİ,1,1,2
ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,YUNANİSTAN CUMHURİYETİ,0,1,1
AFYON KOCATEPE ÜNİVERSİTESİ,DEVLET,AFYONKARAHİSAR,AFGANİSTAN İSLAM CUMHURİYETİ,77,46,123
AFYON KOCATEPE ÜNİVERSİTESİ,DEVLET,AFYONKARAHİSAR,ALMANYA FEDERAL CUMHURİYETİ,7,6,13
